-0.0737956	-15.0969
-0.663128	-2.71489
1.74321	-1.4579
-1.80454	-3.22283
1.80892	-5.62027
-4.65103	-4.70211
-2.89765	-5.39998
-5.56439	-4.54936
1.48896	-2.78142
2.27522	-4.66099
-1.30032	-6.05851
3.19333	-4.11934
1.94013	-5.90789
0.917929	-4.74021
3.63254	-3.04072
-10.1535	-19.3291
-13.1857	-22.6464
-16.2874	-17.7968
-11.5441	-25.0055
-13.055	-23.8529
-11.9549	-23.0826
-9.99304	-23.9918
-9.68238	-22.2235
-4.25376	-21.8268
-0.426988	-15.2841
-0.582813	-16.013
-0.447434	-17.0842
1.04091	-17.4733
2.1693	-17.1545
2.99621	-17.6851
6.02695	-18.6784
5.68475	-17.7598
6.83753	-17.8978
6.78901	-18.1774
8.26097	-19.1996
7.27523	-20.2545
2.47629	-13.2319
0.273658	-18.009
0.627147	-23.1075
-0.0329216	-26.1499
-0.284171	-28.0935
0.476697	-30.6026
0.0313523	-31.7665
-2.86698	-30.7333
-2.89282	-30.6629
-4.25452	-28.8623
-3.26537	-29.0823
0.799269	-18.851
-0.568364	-26.9407
-0.310613	-31.126
-1.7823	-30.7665
-4.36355	-29.1545
-6.13073	-29.5321
-6.16846	-29.0444
-5.75845	-28.2778
-5.4133	-28.8323
-3.60734	-30.3441
2.5561	-30.6272
3.55111	-25.5061
-1.07459	-18.7945
-2.3831	-20.7425
-1.31562	-24.4403
-1.32036	-24.484
-1.06007	-25.5229
0.0929357	-24.8641
2.72144	-26.1851
2.14712	-24.5912
2.90643	-16.6882
-0.080068	-14.0735
-1.25048	-16.2059
-2.37491	-15.0268
-3.02537	-15.8521
-2.19413	-17.2466
-2.36381	-19.1397
-2.23102	-22.0818
-4.61397	-20.8141
-4.97026	-19.8657
-7.31611	-11.9902
-7.29842	-11.4846
-4.05396	-12.5185
-3.0619	-18.7036
-4.57657	-18.5025
-5.18441	-20.8647
-5.08397	-21.8317
-7.09318	-21.6006
-6.81012	-23.0328
-4.76889	-26.1127
-3.06263	-27.218
-1.75599	-24.8047
-0.311067	-23.2745
-4.65543	-20.338
-5.29668	-15.3827
-4.63229	-16.5881
